category_l1,unique_size_count,unique_age_group_count,unique_size_values,unique_age_group_values
Textile,5,12,"24*28cm, 25x28cm, 28*36cm, 60*100cm, 90*140cm","0-12M, 0-36M, 0-5Y, 1M-12M, 1M-15M, 1Y-2Y, 1Y-3Y, 2Y-6Y, Từ 0M, Từ 1Y, Từ 2M, Từ 3M"
TPCN,0,18,,"0-12M, 0-36M, 0-4Y, 1Y-11Y, 1Y-12Y, 1Y-3Y, 1Y-9Y, 3Y-12Y, 4M-4Y, 6M-12M, 6M-12Y, Từ 0M, Từ 13Y, Từ 19Y, Từ 1Y, Từ 4M, Từ 6M, Từ 7M"
Thực phẩm cho gia đình,0,6,,"Mẹ, Từ 1Y, Từ 2Y, Từ 3Y, Từ 4Y, Từ 6M"
Babycare,13,40,"0-3 tuổi, 0-36 tháng, 1-3 tháng, 24-36 tháng, 3, 4-14 tháng, 4-6 tháng, L, M, S, Từ 7 tháng, XL, XXL","0-12Y, 0-18M, 0-1M, 0-24M, 0-2M, 0-36M, 0-3M, 0-4Y, 0-5M, 0-6M, 0-6Y, 1M-3M, 1Y-3Y, 2M-15M, 2M-6M, 3M-18M, 3M-24M, 3M-6M, 3Y-5Y, 4M-6M, 6M-12M, 6M-18M, 6M-24M, 6M-36M, 6M-9M, Mẹ, Từ 0M, Từ 18M, Từ 1M, Từ 1Y, Từ 2M, Từ 2Y, Từ 3M, Từ 3Y, Từ 4M, Từ 4Y, Từ 6M, Từ 7M, Từ 8M, Từ 9M"
Sữa,0,27,,"0-12M, 0-36M, 0-6M, 12M-18M, 1Y-10Y, 1Y-12Y, 1Y-2Y, 1Y-3Y, 1Y-6Y, 1Y-9Y, 2Y-10Y, 2Y-6Y, 3Y-10Y, 3Y-12Y, 3Y-6Y, 6M-12M, 6M-24M, 6M-36M, 9M-36M, Mẹ, Trên 2Y, Trên 3Y, Từ 18M, Từ 1Y, Từ 2Y, Từ 3Y, Từ 6M"
Sữa nước,0,5,,"1Y-10Y, Từ 1Y, Từ 2Y, Từ 3Y, Từ 6M"
Phụ kiện,20,27,"1-2 tuổi, 10, 11, 110, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 34, 9","0-12M, 0-24M, 12M-18M, 1M-12M, 1M-3M, 1Y-2Y, 1Y-3Y, 1Y-6Y, 2Y-3Y, 2Y-6Y, 3Y-4Y, 3Y-6Y, 4Y-5Y, 5Y-6Y, 6M-10M, 6M-12M, 6M-15M, 6M-18M, 6M-24M, 9M-15M, 9M-20M, Từ 0M, Từ 2Y, Từ 3Y, Từ 4Y, Từ 5Y, Từ 6Y"
Gói Hội Viên,0,0,,
Thực phẩm cho bé,0,23,,"10Y-12Y, 13M-24M, 1Y-16Y, 3Y-12Y, 6M-12M, 6M-36M, 7Y-10Y, 7Y-14Y, 8Y-14Y, Trên 6M, Từ 10Y, Từ 18M, Từ 1Y, Từ 2Y, Từ 3Y, Từ 4M, Từ 5M, Từ 5Y, Từ 6M, Từ 7M, Từ 7Y, Từ 8M, Từ 9M"
Vệ sinh,0,1,,Từ 0M
Hóa mỹ phẩm gia đình,0,5,,"3Y-5Y, Mẹ, Từ 12Y, Từ 3Y, Từ 6Y"
Thời trang,47,55,"0 tháng, 0-1Y, 0-3M, 0-6M, 1, 1-2Y, 12 tháng, 12-18M, 12-24M, 18 tháng, 18-24M, 1T, 1Y, 2, 2-3T, 2-3Y, 24 tháng, 2T, 2Y, 3, 3 tháng, 3-4Y, 3-6M, 36, 3T, 4-5T, 4-5Y, 4T, 4Y, 5-6Y, 5T, 6 tháng, 6-9M, 6T, 7-8 tuổi, 7-8Y, 9 tháng, 9-12M, 9M, B75, B85, L, NB, S, SS, Sơ sinh, XL","0-12M, 0-24M, 0-3M, 0-6M, 0-9M, 11Y-12Y, 12M-18M, 12M-4Y, 18M-24M, 18M-36M, 18M-4Y, 1Y-2Y, 1Y-3Y, 1Y-4Y, 1Y-6Y, 2Y-3Y, 2Y-6Y, 3M-12M, 3M-24M, 3M-6M, 3Y-4Y, 4Y-5Y, 5Y-6Y, 6M-12M, 6M-24M, 6M-36M, 6M-5Y, 6M-6Y, 6M-9M, 7Y-8Y, 9M-12M, 9M-24M, 9M-36M, 9M-4Y, 9M-6Y, 9Y-10Y, Mẹ, Từ 0M, Từ 18M, Từ 1Y, Từ 2Y, Từ 3M, Từ 3Y, Từ 4Y, Từ 5Y, Từ 6M, Từ 6Y, Từ 9M, [""Từ 0M"", ""Từ 3M"", ""Từ 6M""], [""Từ 0M"", ""Từ 3M""], [""Từ 3M"", ""Từ 6M"", ""Từ 1Y""], [""Từ 3M"", ""Từ 6M"", ""Từ 9M"", ""Từ 1Y""], [""Từ 3M"", ""Từ 6M"", ""Từ 9M""], [""Từ 3M"", ""Từ 6M""], [""Từ 6M"", ""Từ 9M"", ""Từ 1Y""]"
Hóa mỹ phẩm cho bé,0,13,,"0-24M, 0-36M, 0-4Y, 0-6M, 0-6Y, 2Y-6Y, Trên 1Y, Từ 0M, Từ 1Y, Từ 2Y, Từ 3M, Từ 3Y, Từ 6M"
