var1,var2,chi2,p_value,dof,n,cramers_v
category_l1,category_l2,,,,0,
category_l1,category_l3,,,,0,
category_l1,category,,,,0,
category_l1,manufacturer,,,,0,
category_l1,brand,,,,0,
category_l1,gender_target,,,,0,
category_l1,age_group,,,,0,
category_l1,item_type,,,,0,
category_l1,color,,,,0,
category_l1,size,,,,0,
category_l1,origin,,,,0,
category_l1,material,,,,0,
category_l1,sale_status,,,,0,
category_l1,description_new,,,,0,
category_l2,category_l3,,,,0,
category_l2,category,,,,0,
category_l2,manufacturer,,,,0,
category_l2,brand,,,,0,
category_l2,gender_target,,,,0,
category_l2,age_group,,,,0,
category_l2,item_type,,,,0,
category_l2,color,,,,0,
category_l2,size,,,,0,
category_l2,origin,,,,0,
category_l2,material,,,,0,
category_l2,sale_status,,,,0,
category_l2,description_new,,,,0,
category_l3,category,,,,0,
category_l3,manufacturer,,,,0,
category_l3,brand,,,,0,
category_l3,gender_target,,,,0,
category_l3,age_group,,,,0,
category_l3,item_type,,,,0,
category_l3,color,,,,0,
category_l3,size,,,,0,
category_l3,origin,,,,0,
category_l3,material,,,,0,
category_l3,sale_status,,,,0,
category_l3,description_new,,,,0,
category,manufacturer,,,,0,
category,brand,,,,0,
category,gender_target,,,,0,
category,age_group,,,,0,
category,item_type,,,,0,
category,color,,,,0,
category,size,,,,0,
category,origin,,,,0,
category,material,,,,0,
category,sale_status,,,,0,
category,description_new,,,,0,
manufacturer,brand,,,,0,
manufacturer,gender_target,,,,0,
manufacturer,age_group,,,,0,
manufacturer,item_type,,,,0,
manufacturer,color,,,,0,
manufacturer,size,,,,0,
manufacturer,origin,,,,0,
manufacturer,material,,,,0,
manufacturer,sale_status,,,,0,
manufacturer,description_new,,,,0,
brand,gender_target,,,,0,
brand,age_group,,,,0,
brand,item_type,,,,0,
brand,color,,,,0,
brand,size,,,,0,
brand,origin,,,,0,
brand,material,,,,0,
brand,sale_status,,,,0,
brand,description_new,,,,0,
gender_target,age_group,,,,0,
gender_target,item_type,,,,0,
gender_target,color,,,,0,
gender_target,size,,,,0,
gender_target,origin,,,,0,
gender_target,material,,,,0,
gender_target,sale_status,,,,0,
gender_target,description_new,,,,0,
age_group,item_type,,,,0,
age_group,color,,,,0,
age_group,size,,,,0,
age_group,origin,,,,0,
age_group,material,,,,0,
age_group,sale_status,,,,0,
age_group,description_new,,,,0,
item_type,color,,,,0,
item_type,size,,,,0,
item_type,origin,,,,0,
item_type,material,,,,0,
item_type,sale_status,,,,0,
item_type,description_new,,,,0,
color,size,,,,0,
color,origin,,,,0,
color,material,,,,0,
color,sale_status,,,,0,
color,description_new,,,,0,
size,origin,,,,0,
size,material,,,,0,
size,sale_status,,,,0,
size,description_new,,,,0,
origin,material,,,,0,
origin,sale_status,,,,0,
origin,description_new,,,,0,
material,sale_status,,,,0,
material,description_new,,,,0,
sale_status,description_new,,,,0,
