location_value,location_count
645,312956
88,201020
658,188013
724,173188
340,160647
488,159802
120,156103
102,138988
93,137501
153,136694
262,135510
32,135261
435,134636
211,129782
342,126908
151,125553
443,125401
106,122349
252,121726
556,119828
115,119276
780,116720
412,115202
183,115105
656,111928
135,111524
399,109511
150,108723
103,106821
110,105580
94,105381
50,104848
388,104220
81,103571
899,103056
141,102841
180,101665
516,101086
184,100388
185,100364
474,99181
63,98626
881,98484
483,97457
74,96573
368,96490
390,96256
289,96213
408,95429
735,95386
53,94920
268,92800
39,92718
586,92103
161,91055
438,90995
198,90585
433,90239
583,89830
193,89676
144,89252
232,88372
413,86769
673,86259
517,86229
522,85971
514,85338
99,84465
386,84461
337,84449
200,82959
90,82510
513,82111
788,82066
169,81431
533,81050
294,80969
661,80928
431,80831
338,80828
721,80781
515,80624
192,80497
446,80382
381,79488
134,79234
75,78851
442,78427
145,77574
548,77441
903,77328
59,77162
564,77124
444,76700
157,76608
563,76426
365,76386
173,76334
322,76260
241,75931
349,75774
84,75588
525,75577
128,75564
468,75295
166,75196
126,75064
912,74998
831,74841
273,74749
478,74631
65,74301
620,73952
155,73608
165,73345
356,73287
27,72965
176,71645
538,71137
466,70600
240,70364
750,70351
319,69730
439,69702
68,69702
168,69540
414,69051
297,68984
163,68840
352,68798
380,68737
916,68724
316,68717
582,68481
17,68434
493,68109
736,67761
357,67694
440,67535
417,67495
62,67462
471,67366
389,67350
496,67320
140,67204
429,66976
261,66844
179,66707
510,66700
222,66592
271,66555
226,66218
77,65906
244,65341
162,65202
304,65074
674,65045
125,65032
320,64995
201,64955
559,64708
355,64420
790,64354
237,63775
34,63750
318,63652
462,63566
16,63547
544,63277
840,63004
395,62915
565,62888
617,62835
695,62800
666,62503
701,62402
132,62123
856,62064
622,61914
178,61888
333,61773
888,61770
394,61738
76,61625
292,61506
578,61498
152,61483
346,61410
247,61390
808,61186
112,60963
301,60947
158,60936
642,60865
752,60742
329,60740
358,60690
770,60480
445,60296
313,60243
92,60028
191,60017
715,59826
295,59794
401,59725
425,59610
217,59559
484,59545
528,59202
80,59188
419,58927
540,58806
170,58744
456,58406
842,58386
334,58385
366,58371
521,58223
584,58077
196,57977
194,57971
22,57867
611,57701
225,57653
98,57638
324,57589
376,57562
221,57488
360,57478
606,57228
307,57209
457,57196
477,57118
469,57091
506,57069
280,57066
697,57026
327,56705
567,56702
762,56598
57,56573
89,56445
203,56182
649,56138
267,56089
545,56087
332,55951
154,55905
317,55902
392,55792
663,55735
655,55723
638,55645
714,55625
109,55592
636,55588
585,55436
257,55356
415,55112
719,54854
596,54669
768,54524
402,54407
465,54131
458,54053
260,54045
686,54031
537,53836
902,53751
315,53691
511,53573
895,53400
687,53277
531,53264
254,53161
69,53048
460,52979
502,52919
378,52879
495,52740
214,52690
202,52601
640,52547
204,52413
234,52370
258,52194
805,52180
675,52159
182,52153
187,52133
481,52126
573,52081
662,52074
657,52025
284,51988
250,51905
343,51841
299,51699
143,51663
174,51484
434,51472
387,51470
595,51161
798,51088
242,50975
590,50681
393,50605
769,50573
189,50496
811,50433
272,50407
283,50328
503,50128
186,49978
729,49925
795,49702
339,49655
367,49511
253,49437
894,49409
682,49394
441,49376
737,49356
379,49300
779,49290
422,49198
278,49031
870,48668
363,48652
632,48341
291,48135
851,48038
129,47846
654,47783
760,47771
437,47756
705,47555
854,47426
341,47257
321,47127
543,47012
447,46898
223,46886
218,46659
678,46653
734,46392
542,46380
679,46357
630,46268
227,46103
246,46086
898,46071
836,45978
205,45828
726,45770
639,45763
680,45731
732,45730
105,45615
787,45408
549,45277
213,45218
703,45144
498,44815
561,44776
704,44647
716,44566
364,44520
613,44489
684,44457
832,44388
698,44365
748,44327
691,44230
660,44099
803,44050
249,43941
689,43880
550,43845
508,43777
96,43747
861,43666
507,43647
501,43627
536,43603
526,43419
486,43266
303,43234
754,43058
494,43033
723,42914
467,42742
753,42675
863,42568
710,42174
783,42173
646,42066
568,41961
598,41943
293,41827
519,41771
631,41672
535,41591
589,41581
637,41490
579,41381
215,41302
418,41204
171,41184
