Biến 1,Biến 2,Cramér's V
category_l1,category_l2,0.965
category_l1,category_l3,0.985
category_l1,category,0.989
category_l1,manufacturer,0.405
category_l1,brand,0.803
category_l1,gender_target,0.254
category_l1,age_group,0.257
category_l1,item_type,0.766
category_l1,color,0.04
category_l1,size,0.117
category_l1,origin,0.375
category_l1,material,0.31
category_l1,sale_status,0.28
category_l2,category_l3,0.97
category_l2,category,0.973
category_l2,manufacturer,0.475
category_l2,brand,0.794
category_l2,gender_target,0.442
category_l2,age_group,0.196
category_l2,item_type,0.527
category_l2,color,0.046
category_l2,size,0.095
category_l2,origin,0.374
category_l2,material,0.319
category_l2,sale_status,0.469
category_l3,category,0.947
category_l3,manufacturer,0.435
category_l3,brand,0.702
category_l3,gender_target,0.501
category_l3,age_group,0.292
category_l3,item_type,0.656
category_l3,color,0.093
category_l3,size,0.171
category_l3,origin,0.414
category_l3,material,0.252
category_l3,sale_status,0.533
category,manufacturer,0.537
category,brand,0.822
category,gender_target,0.622
category,age_group,0.489
category,item_type,0.81
category,color,0.191
category,size,0.317
category,origin,0.636
category,material,0.367
category,sale_status,0.727
manufacturer,brand,0.473
manufacturer,gender_target,0.088
manufacturer,age_group,0.321
manufacturer,item_type,0.344
manufacturer,color,0.011
manufacturer,size,0.008
manufacturer,origin,0.462
manufacturer,material,0.459
manufacturer,sale_status,0.37
brand,gender_target,0.373
brand,age_group,0.342
brand,item_type,0.592
brand,color,0.201
brand,size,0.231
brand,origin,0.54
brand,material,0.265
brand,sale_status,0.546
gender_target,age_group,0.453
gender_target,item_type,0.491
gender_target,color,0.092
gender_target,size,0.184
gender_target,origin,0.115
gender_target,material,0.269
gender_target,sale_status,0.201
age_group,item_type,0.221
age_group,color,0.117
age_group,size,0.242
age_group,origin,0.251
age_group,material,0.342
age_group,sale_status,0.254
item_type,color,0.061
item_type,size,0.129
item_type,origin,0.227
item_type,material,0.249
item_type,sale_status,0.352
color,size,0.247
color,origin,0.015
color,material,0.136
color,sale_status,0.082
size,origin,0.107
size,material,0.271
size,sale_status,0.207
origin,material,0.339
origin,sale_status,0.385
material,sale_status,0.387
