location_value,location_count
766,22383
455,21746
598,21509
264,20835
687,20563
590,19558
746,17538
882,16810
291,16696
117,16658
149,16517
369,16248
473,15158
459,15018
240,14009
644,13994
700,13966
822,13645
58,13580
684,13477
410,13438
622,13320
101,13186
465,13127
615,12971
419,12887
894,12879
135,12756
747,12636
302,12521
180,12384
182,12383
212,12329
607,11880
941,11717
131,11652
853,11549
527,11509
494,11479
417,11477
281,11471
636,11430
557,11387
198,11386
397,11264
830,11253
442,11028
474,11014
203,10994
192,10987
605,10972
625,10797
381,10757
261,10731
712,10730
409,10713
345,10591
441,10531
437,10475
650,10234
522,10063
642,10030
698,9976
213,9956
703,9950
122,9947
689,9830
123,9800
659,9792
333,9792
179,9789
371,9764
573,9756
186,9687
209,9678
221,9674
940,9610
367,9603
575,9570
110,9522
144,9510
777,9504
170,9504
113,9479
76,9451
199,9395
555,9353
753,9311
510,9283
184,9251
721,9189
923,9183
606,9162
157,9115
128,9100
197,9094
323,9088
173,9078
580,8980
351,8971
954,8962
318,8904
654,8862
190,8847
90,8839
624,8821
109,8791
269,8741
65,8738
964,8714
297,8695
556,8610
733,8601
319,8575
463,8563
502,8547
428,8544
227,8529
378,8476
104,8447
532,8430
164,8412
763,8392
1000,8383
561,8364
504,8360
873,8358
237,8355
208,8353
416,8274
472,8248
79,8246
506,8243
222,8216
42,8212
358,8170
43,8160
909,8148
715,8109
92,8109
386,8103
757,8070
737,8058
958,8043
229,8038
205,8028
366,8025
468,8011
336,8008
163,7956
139,7888
201,7860
53,7834
119,7818
921,7790
230,7777
549,7758
1025,7757
812,7754
567,7754
353,7751
912,7741
492,7732
195,7716
394,7707
103,7693
252,7682
664,7665
476,7662
276,7576
375,7510
246,7492
1026,7480
154,7475
385,7466
202,7419
231,7392
48,7387
1004,7383
407,7366
609,7365
118,7352
290,7308
507,7231
794,7212
554,7199
617,7198
214,7194
628,7179
415,7173
424,7158
679,7101
475,7099
627,7097
121,7097
447,7083
444,7064
778,7043
220,7038
384,7001
283,6977
716,6975
553,6974
270,6965
273,6958
102,6948
461,6943
335,6930
647,6922
363,6909
827,6900
728,6856
552,6843
610,6841
582,6794
1079,6773
470,6765
655,6758
945,6732
661,6727
301,6721
620,6716
513,6666
626,6663
514,6660
251,6656
449,6655
86,6627
254,6590
299,6586
423,6581
395,6553
402,6538
564,6536
255,6508
