province_value,province_count
Hồ Chí Minh,1223333
Đồng Nai,312131
Bình Dương,287542
Hà Nội,201491
Đà Nẵng,146596
Lâm Đồng,134620
Long An,133752
Bà Rịa - Vũng Tàu,118101
Khánh Hòa,112897
Tây Ninh,112150
Đắk Lắk,102728
An Giang,87664
Tiền Giang,86932
Cần Thơ,83634
Kiên Giang,82819
Bình Thuận,81964
Đồng Tháp,74808
Bình Phước,71158
Vĩnh Long,61105
Cà Mau,56627
Quảng Nam,54252
Quảng Ngãi,54222
Bình Định,53062
Thừa Thiên Huế,52279
Hải Phòng,51581
Sóc Trăng,49231
Ninh Thuận,45688
Gia Lai,44670
Bến Tre,43395
Nghệ An,42985
Quảng Bình,40097
Bắc Giang,38741
Thanh Hóa,37892
Trà Vinh,37417
Đắk Nông,30286
Bạc Liêu,29801
Phú Yên,27791
Bắc Ninh,25825
Quảng Trị,24287
Quảng Ninh,23536
Kon Tum,20590
Thái Nguyên,20588
Hà Tĩnh,19924
Hậu Giang,19212
Ninh Bình,18592
Thái Bình,17430
Vĩnh Phúc,13764
Hải Dương,11997
Yên Bái,6636
Hà Nam,6481
Nam Định,6255
Hưng Yên,6129
Lai Châu,5330
Phú Thọ,3415
Lào Cai,2834
Sơn La,1728
Hòa Bình,1540
Lạng Sơn,1398
Thành Phố Hà Nội,1388
Tuyên Quang,1270
Thành Phố Hồ Chí Minh,986
Hà Giang,698
Cao Bằng,637
Điện Biên,608
Bắc Kạn,504
Tỉnh Tiền Giang,378
Tỉnh Bình Dương,315
Tỉnh Đắk Lắk,260
Tỉnh Đồng Nai,249
Thành Phố Hải Phòng,231
Thành Phố Cần Thơ,207
Tỉnh Cà Mau,203
Tỉnh Gia Lai,197
Tỉnh Bình Định,192
Tỉnh An Giang,181
Tỉnh Quảng Ngãi,167
Tỉnh Long An,144
Tỉnh Thừa Thiên Huế,132
Tỉnh Bình Thuận,130
Tỉnh Khánh Hòa,124
Tỉnh Bà Rịa - Vũng Tàu,115
Thành Phố Đà Nẵng,104
Tỉnh Nghệ An,95
Tỉnh Hậu Giang,85
Tỉnh Hải Dương,83
Tỉnh Sóc Trăng,73
Tỉnh Vĩnh Phúc,70
Tỉnh Kiên Giang,69
Tỉnh Vĩnh Long,67
Tỉnh Đắk Nông,67
Tỉnh Hưng Yên,66
Tỉnh Bình Phước,57
Tỉnh Đồng Tháp,57
Tỉnh Thanh Hóa,55
Tỉnh Thái Bình,55
Tỉnh Bắc Giang,53
Tỉnh Bến Tre,49
Tỉnh Bắc Ninh,45
Tỉnh Quảng Nam,43
Tỉnh Nam Định,42
Tỉnh Lâm Đồng,38
Tỉnh Tây Ninh,35
Tỉnh Phú Yên,34
Tỉnh Bạc Liêu,33
Tỉnh Quảng Ninh,30
Tỉnh Trà Vinh,28
Tỉnh Hà Tĩnh,26
Tỉnh Yên Bái,25
Tỉnh Thái Nguyên,24
Tỉnh Ninh Thuận,23
Tỉnh Hà Nam,23
Tỉnh Ninh Bình,21
Tỉnh Phú Thọ,20
Tỉnh Sơn La,17
Tỉnh Hòa Bình,16
Tỉnh Tuyên Quang,15
Tỉnh Quảng Bình,15
Tỉnh Lạng Sơn,12
Tỉnh Hà Giang,11
Tỉnh Kon Tum,11
Tỉnh Quảng Trị,10
Tỉnh Lai Châu,5
Tỉnh Lào Cai,3
Tỉnh Bắc Kạn,2
Tỉnh Điện Biên,2
Tỉnh Cao Bằng,1
