district_value,district_count
Thủ Đức,195601
Biên Hòa,125390
Bình Tân,105858
Tân Phú,102835
Bình Chánh,84427
12,81984
Thuận An,71387
1,65854
Gò Vấp,65727
7,65561
Nha Trang,62789
Dĩ An,61637
Bình Thạnh,58133
Thủ Dầu Một,51715
Tân Bình,48774
Hóc Môn,48664
Đà Lạt,48346
Ninh Kiều,48019
Châu Thành,47351
Buôn Ma Thuột,46805
Hà Đông,44545
8,43882
Bến Cát,41411
Huế,41073
10,39980
Củ Chi,38668
Phan Rang-Tháp Chàm,38016
Trảng Bom,37234
Phan Thiết,36791
Vũng Tàu,35925
Tây Ninh,33105
Cà Mau,32764
Long Thành,32197
Đức Hòa,32107
Quảng Ngãi,31072
Nhơn Trạch,30575
Tân Uyên,30043
Hải Châu,29823
Nhà Bè,29552
Rạch Giá,29033
Vinh,28349
5,28238
Liên Chiểu,27756
Pleiku,27615
Vĩnh Long,26998
Phú Nhuận,26820
Sóc Trăng,26695
6,26583
Trà Vinh,26380
3,26097
Long Xuyên,25490
Mỹ Tho,24999
Bến Lức,24606
Ba Đình,23830
Bà Rịa,22870
Cẩm Lệ,22596
Tân An,22404
Đồng Hới,21890
11,21525
Ngũ Hành Sơn,20651
Quy Nhơn,20322
Gò Dầu,20207
Bắc Giang,20110
Đồng Xoài,19760
Định Quán,19335
Cam Ranh,19114
Sơn Trà,18610
Thanh Khê,18555
Cao Lãnh,18544
4,18326
Tam Kỳ,18250
Long Khánh,18120
Phú Mỹ,17905
Tuy Hoà,17800
Bạc Liêu,17723
Bến Tre,17472
Tân Châu,17316
Bảo Lộc,16996
Xuân Lộc,16805
Cầu Giấy,16551
Châu Đốc,15954
Đức Trọng,15525
Trảng Bàng,15427
Ngô Quyền,14844
Thanh Hóa,14804
Xuyên Mộc,14573
Châu Đức,14434
Gò Công,13897
Lâm Hà,13673
Di Linh,13670
Hạ Long,13539
Vĩnh Cửu,13067
Hòa Thành,12912
Ninh Hòa,12535
Kon Tum,12432
Hà Tĩnh,12417
Thanh Xuân,12391
Bình Thuỷ,12265
Sa Đéc,12189
Bàu Bàng,12050
Thái Bình,11627
Gia Lâm,11481
Chợ Mới,11481
Thái Nguyên,11350
Cần Giuộc,11241
La Gi,11205
An Nhơn,11016
Tuy Phong,11012
Cai Lậy,10899
Krông Pắc,10837
Gia Nghĩa,10695
Vị Thanh,10517
Ninh Bình,10445
Phú Quốc,10400
Phước Long,10384
Ba Đồn,10211
Cần Đước,10151
Bắc Ninh,9885
An Dương,9786
Thuỷ Nguyên,9765
Bình Sơn,9333
Đông Hà,9322
Thanh Trì,9220
Cái Bè,9180
Điện Bàn,9108
Bình Long,9100
Phú Giáo,9089
Diên Khánh,8905
Bình Minh,8845
Hoàng Mai,8722
Nam Từ Liêm,8699
Long Đất,8591
Tam Bình,8500
Lai Vung,8485
Yên Phong,8434
Lộc Ninh,8419
Thống Nhất,8385
Hòa Vang,8287
Phú Riềng,8042
Đắk R'Lấp,7898
Hai Bà Trưng,7858
Tuy Phước,7734
Đan Phượng,7633
Tân Biên,7621
Thốt Nốt,7614
Tháp Mười,7575
Đầm Dơi,7558
Lê Chân,7414
Thoại Sơn,7397
Long Biên,7327
Lấp Vò,7152
Cư M'gar,7121
Hương Thủy,7111
Phúc Yên,7048
Phổ Yên,6972
Hội An,6949
Duy Xuyên,6901
Đức Linh,6797
Buôn Hồ,6767
An Khê,6689
 Vũng Liêm,6687
Tri Tôn,6552
Giồng Riềng,6528
Cái Nước,6517
Đơn Dương,6480
Dầu Tiếng,6346
Vĩnh Châu,6320
Cẩm Mỹ,6249
Kiến Tường,6218
Cam Lâm,6167
Bù Đăng,6119
Hà Tiên,6074
Ea H'leo,6054
Hiệp Hòa,6003
Dương Minh Châu,5994
Ô Môn,5963
Mỏ Cày Nam,5919
Bảo Lâm,5908
Trà Ôn,5862
Ngã Năm,5856
Chư Sê,5826
Chợ Gạo,5781
Yên Bái,5640
Đức Phổ,5616
An Minh,5614
Lệ Thủy,5608
Giá Rai,5531
Chợ Lách,5520
Quảng Trị,5470
Krông Nô,5466
Bắc Từ Liêm,5420
Hoàn Kiếm,5410
Đạ Tẻh,5394
Lục Ngạn,5341
Tam Điệp,5332
An Phú,5248
Đống Đa,5198
Krông Bông,5194
Sầm Sơn,5177
Ea Súp,5104
Kinh Môn,5033
Lai Châu,5009
Vĩnh Linh,4952
Hàm Thuận Nam,4848
Ninh Phước,4815
Tam Nông,4765
Tân Hồng,4736
Hòn Đất,4701
Thạnh Hóa,4668
Tánh Linh,4584
Giồng Trôm,4576
Gò Công Tây,4559
Sông Cầu,4515
Cầu Kè,4340
Đắk Hà,4256
Cư Jút,4234
Kế Sách,4188
Núi Thành,4182
Gò Quao,4014
Việt Yên,3940
Bù Đốp,3905
Năm Căn,3905
Lạc Dương,3897
Tân Thạnh,3873
Đồng Phú,3857
Vĩnh Hưng,3830
Thủ Thừa,3766
Cát Tiên,3696
Buôn Đôn,3670
Cái Răng,3669
Quế Sơn,3629
Phù Mỹ,3626
Trần Văn Thời,3617
Hoài Nhơn,3596
Krông Năng,3525
Kiên Lương,3487
Thanh Bình,3452
Bắc Tân Uyên,3390
Cần Giờ,3386
Uông Bí,3366
Phủ Lý,3345
Tây Sơn,3321
Trần Đề,3241
Đông Anh,3223
Đại Lộc,3219
