location_name_value,location_name_count
DNA - 81 - 83 Nguyễn Văn Linh,22383
HNI - Aeon Mall Hà Đông,21746
HCM - 66 Nguyễn Du,21509
HNI - 933 La Thành,20835
HCM - 9 – 11 – 13 Nguyễn Trãi,20563
DNA - 93-95 Lê Văn Hiến,19558
HNI - 16B-4 Nguyễn Văn Lộc,17538
HNI - 147K Đội Cấn,16810
TVI - 62 Điện Biên Phủ,16696
VLO - 47- 49 Trưng Nữ Vương,16658
DON - 1-1/1 Hai Bà Trưng,16517
CMA - 68 Trần Hưng Đạo,16248
DNA - 842- 844 Tôn Đức Thắng,15158
HCM - 223B Cống Quỳnh,15018
TGI - 364-365 Nguyễn Huệ,14009
TBI - Go! Thái Bình,13994
HCM - 55B Phan Đăng Lưu,13966
LDO - 4A - 4C Hải Thượng,13645
HCM - 317 Hoàng Diệu,13580
THO - 300 - 302 Trần Phú,13477
HTI - 53-55 Trần Phú,13438
HNI - BT8-VT11 Khu đô thị Xa La,13320
HCM - 553 Hậu Giang,13186
LAN - 16 Tỉnh lộ 825,13127
BGI - 161 Lê Lợi,12971
STR - 167 Trần Hưng Đạo,12887
HNI - Go Lê Trọng Tấn,12879
CTO - 196 Đường 3/2,12756
HNI - GO! Thăng Long,12636
BLI - 24-26 Trần Phú,12521
HCM - 129-131 Lê Trọng Tấn,12384
NTH - 450A Thống Nhất,12383
BDU - 01 Pasteur,12329
LDO - Big C Đà Lạt,11880
ĐTH - 158 - 160 Nguyễn Huệ,11717
BPH - 1108 Phú Riềng Đỏ,11652
HAP - 22 Tổ 4 An Dương,11549
HCM - 48A An Dương Vương,11509
NAN - 83 Nguyễn Văn Cừ,11479
DLK - 294 - 296 - 298 Giải Phóng,11477
BTH - 45 Trần Hưng Đạo,11471
HNI - 340 - 342 Phan Trọng Tuệ,11430
QNI - 18 Phố Giếng Đồn,11387
QBI - 309 - 311 Trần Hưng Đạo,11386
DNK - 17-19-21 Huỳnh Thúc Kháng,11264
QBI - 1 Lý Thường Kiệt,11253
HAG - 361 Trần Hưng Đạo,11028
TVI - 12 Điện Biên Phủ,11014
HUE - 1 Bà Triệu,10994
HCM - 391 Lý Thái Tổ,10987
DNA - 199-201 Tôn Đức Thắng,10972
TGI - 02 đường 30/04,10797
LAN - 450 Hùng Vương,10757
PYN - 287B Trần Hưng Đạo,10731
HNI - 22-24 Nguyễn Thái Học,10730
CTO - 1A Mậu Thân,10713
DNA - 42 Ông Ích Đường,10591
